word,vector
3240,"[-0.08461873233318329,0.05294197052717209,-0.09182056039571762,0.007928113453090191,0.018968498334288597]"
2550,"[-0.10692302137613297,-0.0212875809520483,-0.1506543904542923,0.05157739669084549,0.0330839678645134]"
1755,"[-0.1528196483850479,-0.09495411068201065,0.09310890734195709,-0.06846114993095398,-0.007578256540000439]"
91622,"[-0.049836665391922,0.037693336606025696,-0.06320123374462128,0.0873694196343422,0.03861520066857338]"
131610,"[-0.06350010633468628,-0.05823320895433426,-0.18320073187351227,-0.08328617364168167,-0.06294910609722137]"
69278,"[-0.05992281064391136,-0.06318537890911102,-0.027608521282672882,0.012413193471729755,-0.0737973004579544]"
3010,"[0.01302582398056984,-0.08584468811750412,-0.027109190821647644,-0.03827351704239845,-0.024207206442952156]"
52245,"[-0.0438549779355526,0.047805096954107285,-0.03746647387742996,0.051701776683330536,-0.018160611391067505]"
2431,"[-0.25893062353134155,-0.15188105404376984,-0.0644870176911354,0.03738696873188019,-0.02867395058274269]"
3171,"[-0.07240207493305206,0.061514515429735184,-0.03723392263054848,-0.09435699880123138,-0.06933499872684479]"
48385,"[-0.2605394721031189,-0.008569413796067238,-0.06817099452018738,0.059814225882291794,0.021430328488349915]"
66785,"[-0.02566080167889595,0.037882186472415924,-0.15142937004566193,-0.011653725057840347,0.062406379729509354]"
2291,"[-0.3751045763492584,-0.3113437592983246,0.07914033532142639,0.23559418320655823,-0.12964782118797302]"
1971,"[0.008643485605716705,-0.04502187296748161,0.05774283409118652,-0.01448461227118969,0.09230545908212662]"
74532,"[-0.23549844324588776,-0.04339241981506348,-0.13362282514572144,0.06453724205493927,-0.07550501078367233]"
60397,"[-0.09245874732732773,0.04132230579853058,-0.027424078434705734,0.0037209647707641125,0.039930310100317]"
4981,"[-0.07091419398784637,0.028918452560901642,0.10265980660915375,-0.0536067932844162,-0.0531775988638401]"
2382,"[-0.041231751441955566,-0.051137324422597885,0.0027605395298451185,0.011545312590897083,-0.08878804743289948]"
4419,"[-0.03742716461420059,0.032764825969934464,-0.04631371423602104,-0.011083218269050121,-0.007003135047852993]"
117531,"[-0.17721089720726013,-0.01841331459581852,-0.18366655707359314,0.08460050821304321,-0.1499609351158142]"
1035,"[-0.09092778712511063,-0.16386866569519043,0.5342833399772644,0.07068200409412384,0.5064131021499634]"
6022,"[0.03385964408516884,0.05739414691925049,-0.10831693559885025,0.03030344657599926,0.008406544104218483]"
26147,"[0.003985985182225704,-0.08775050938129425,-0.05927075445652008,-0.05734645575284958,-0.06458014994859695]"
27768,"[-0.2206791639328003,-0.06693640351295471,-0.17603294551372528,0.02804342657327652,-0.030278228223323822]"
307,"[0.38793739676475525,-0.45588192343711853,-0.10435351729393005,-0.0652213916182518,0.05190116539597511]"
3701,"[-0.14518076181411743,0.09384071826934814,-0.1325056552886963,0.0003106485237367451,-0.05844273418188095]"
94833,"[-0.08864390850067139,-0.03816094994544983,-0.07642814517021179,0.03336562216281891,0.0741347074508667]"
37727,"[-0.11702483892440796,-0.0007980475202202797,-0.13545647263526917,-0.07999758422374725,-0.006343577057123184]"
91233,"[0.0034163608215749264,0.02576442062854767,-0.09019128233194351,0.0758802518248558,-0.08044097572565079]"
5513,"[-0.07153156399726868,-0.009370537474751472,-0.012296493165194988,-0.010961019434034824,0.026006728410720825]"
7982,"[-0.03395937383174896,-0.04503488168120384,-0.13224811851978302,0.05900437757372856,0.03246362879872322]"
109848,"[0.09674648940563202,-0.06799584627151489,-0.047653429210186005,0.062153734266757965,-0.00042326352559030056]"
1339,"[-0.19329941272735596,-0.21182246506214142,0.23524969816207886,-0.18248674273490906,0.022146260365843773]"
7143,"[0.07440268248319626,0.43465402722358704,-0.3083641827106476,0.36352863907814026,-0.3834662437438965]"
27882,"[-0.21592260897159576,0.06656594574451447,0.026866339147090912,-0.010660430416464806,-0.10488752275705338]"
678,"[0.10628346353769302,-0.07195348292589188,0.01666749082505703,-0.17470459640026093,0.04460711404681206]"
501,"[0.07616309821605682,0.0214814692735672,-0.07808215171098709,0.029450807720422745,-0.05695383623242378]"
4334,"[-0.08945941179990768,0.05181456729769707,-0.2815608084201813,-0.10319186747074127,-0.04863859340548515]"
519,"[0.06196540221571922,-0.08427693694829941,-0.017321769148111343,-0.13159756362438202,0.07785356789827347]"
5034,"[-0.1496075987815857,0.02623264119029045,-0.18784411251544952,-0.10204286128282547,-0.05747475475072861]"
5965,"[-0.07156603783369064,0.10970982909202576,0.040549542754888535,0.03960052505135536,-0.1097278743982315]"
152591,"[-0.1243584156036377,-0.036203499883413315,-0.13419149816036224,0.025656651705503464,-0.0027436036616563797]"
3159,"[-0.0008248221129179001,0.07003580033779144,-0.158532053232193,0.09070287644863129,-0.1501496583223343]"
162606,"[-0.10112753510475159,0.10367555171251297,0.01289151981472969,0.07984010875225067,0.05784914270043373]"
71135,"[-0.07184626907110214,-0.03778494894504547,-0.022274479269981384,-0.0021014809608459473,-0.08525203913450241]"
2950,"[-0.06787490099668503,0.034046776592731476,-0.049944233149290085,-6.080075399950147e-05,-0.017991237342357635]"
98279,"[-0.07124568521976471,-0.050540629774332047,-0.07699374109506607,-0.052404843270778656,-0.05675000324845314]"
5266,"[-0.017957618460059166,0.17670075595378876,-0.15247026085853577,-0.051839470863342285,-0.16530507802963257]"
276,"[-0.040667496621608734,0.017916912212967873,0.04622669517993927,-0.022169502452015877,-0.024487726390361786]"
1617,"[-0.3295948803424835,-0.21846972405910492,0.42452067136764526,-0.2887333333492279,-0.30062809586524963]"
64716,"[-0.1941179484128952,-0.0706130638718605,-0.16458670794963837,0.07559621334075928,-0.13109205663204193]"
1086,"[-0.22494933009147644,-0.23622621595859528,0.5759285092353821,0.009598917327821255,0.49122655391693115]"
58299,"[0.07563046365976334,0.1129416972398758,0.019276635721325874,0.061329614371061325,-0.07936351001262665]"
7251,"[-0.09676892310380936,-0.07500635832548141,0.00928660947829485,0.06312071532011032,-0.08585213869810104]"
4020,"[-0.03279928117990494,-0.006765867583453655,0.086057148873806,-0.07983583211898804,-0.04420727863907814]"
1224,"[-0.24465492367744446,-0.5359756946563721,0.5230739712715149,-0.2953619360923767,0.145796537399292]"
1161,"[-0.036266978830099106,-0.04454026371240616,-0.07550468295812607,-0.015831973403692245,0.09949151426553726]"
3599,"[-0.11452542990446091,-0.051133494824171066,-0.053928010165691376,-0.056724078953266144,-0.08957991003990173]"
55269,"[-0.16851194202899933,0.08770265430212021,-0.16082949936389923,0.051181212067604065,-0.019263172522187233]"
164,"[0.09922710806131363,-0.16276364028453827,-0.08226770162582397,-0.05223881080746651,0.005904294550418854]"
88932,"[-0.10985663533210754,-0.08241903781890869,-0.02149549126625061,0.06756839901208878,-0.055195290595293045]"
6765,"[-0.10598789900541306,0.02794555202126503,-0.1787005513906479,-0.027409689500927925,-0.0793529599905014]"
3230,"[0.02534090355038643,0.012532683089375496,0.04874042794108391,0.05299296975135803,-0.03392145037651062]"
56169,"[-0.06268444657325745,0.10609029978513718,0.02821344882249832,-0.09876339137554169,0.010251058265566826]"
27838,"[-0.08485930413007736,0.09835057705640793,0.05295563489198685,-0.04714011773467064,-0.09784705936908722]"
40339,"[-0.014401179738342762,0.018398430198431015,-0.016360290348529816,0.0013542082160711288,0.054122183471918106]"
6686,"[-0.016365189105272293,-0.03632858395576477,-0.09814855456352234,0.09693455696105957,0.030480576679110527]"
170,"[0.3005431592464447,-0.24840091168880463,-0.05403014272451401,0.030967704951763153,0.038995400071144104]"
7323,"[-0.24468402564525604,0.011722915805876255,-0.22952257096767426,0.010720434598624706,-0.13138258457183838]"
61323,"[-0.35555341839790344,-0.13246509432792664,-0.27730798721313477,0.11128078401088715,0.005934727378189564]"
4571,"[-0.2623385787010193,0.08127794414758682,-0.3430628180503845,-0.05313650146126747,-0.21062275767326355]"
80693,"[-0.06932681053876877,-0.010268935933709145,-0.021783579140901566,0.0608031302690506,0.04503466561436653]"
3326,"[0.024325599893927574,-0.01469024270772934,0.04640579596161842,0.023447105661034584,-0.07421841472387314]"
84772,"[-0.14475959539413452,0.16393974423408508,-0.07723287492990494,0.015498741529881954,-0.055243898183107376]"
62344,"[-0.09376824647188187,0.0040671080350875854,-0.017296424135565758,0.029270879924297333,0.03911830484867096]"
5220,"[0.050850339233875275,-0.054588835686445236,-0.10551600158214569,0.033594220876693726,-0.05628286674618721]"
425,"[0.020810693502426147,-0.07040273398160934,-0.009138699620962143,-0.02932174876332283,-0.016201231628656387]"
4969,"[-0.053321659564971924,0.08629199862480164,-0.11313478648662567,0.017693599686026573,-0.06955011188983917]"
813,"[-0.0645693764090538,-0.009410168044269085,-0.05205927789211273,-0.00889659021049738,-0.06527240574359894]"
3408,"[-0.03360481932759285,0.04272518306970596,-0.10955222696065903,0.17526867985725403,-0.14779235422611237]"
5532,"[0.02607066184282303,-0.028380172327160835,-0.08992838859558105,-0.009189262054860592,0.029498647898435593]"
4628,"[-0.11625342816114426,0.11058500409126282,-0.04837494343519211,-0.004991769790649414,-0.12283700704574585]"
80880,"[0.011327004060149193,-0.018817288801074028,-0.08503679931163788,0.020210761576890945,-0.08624912798404694]"
78,"[-0.022267591208219528,0.03230650722980499,-0.08655595034360886,-0.06498251855373383,-0.030327439308166504]"
104241,"[-0.2637253999710083,0.037260573357343674,-0.22764040529727936,0.06327474117279053,-0.048271097242832184]"
3546,"[-0.0723954439163208,0.04295043274760246,-0.038128435611724854,0.010255049914121628,-0.008500533178448677]"
127212,"[-0.11500082165002823,0.022407112643122673,-0.038169536739587784,0.024744674563407898,-0.014847604557871819]"
1961,"[-0.0026462110690772533,-0.20600201189517975,0.007219563703984022,-0.05287296324968338,-0.14017842710018158]"
1172,"[-0.2604694664478302,-0.2585911750793457,0.5788154006004333,0.14239634573459625,0.7452777028083801]"
158027,"[-0.00630873441696167,-0.0077342139557003975,-0.04862988367676735,0.03907981514930725,-0.04403091222047806]"
31696,"[-0.21200498938560486,0.15644317865371704,-0.1670108586549759,0.04037027806043625,0.09289133548736572]"
77846,"[-0.04352569580078125,-0.018097084015607834,-0.06025739386677742,0.1146697998046875,-0.03567347675561905]"
2634,"[-0.027094649150967598,-0.08752778172492981,-0.01120995543897152,-0.06546541303396225,0.005226582754403353]"
6533,"[-0.10360106825828552,0.1269163191318512,-0.07745687663555145,0.01686820387840271,-0.014412257820367813]"
4701,"[-0.048061445355415344,0.22475086152553558,-0.061815276741981506,-0.10714925825595856,-0.07435571402311325]"
143969,"[-0.00022435002028942108,0.03183417394757271,-0.0810747891664505,0.0009839138947427273,-0.12098345905542374]"
42728,"[-0.03629682958126068,-0.01551038958132267,-0.1413758397102356,0.02760714665055275,0.08578269928693771]"
162478,"[-0.425853967666626,0.04689716547727585,-0.40389758348464966,-0.13028767704963684,-0.15743273496627808]"
66934,"[-0.3214084804058075,0.20754417777061462,-0.17449842393398285,-0.007640327792614698,-0.039858628064394]"
91842,"[-0.16859321296215057,0.025119582191109657,0.026395654305815697,-0.003501028288155794,-0.0766400545835495]"
526,"[0.05499209836125374,0.029360394924879074,-0.07721426337957382,-0.10198558866977692,0.08587585389614105]"
1939,"[-0.10688688606023788,0.09436516463756561,-0.011805600486695766,-0.04864644259214401,0.07494500279426575]"
1249,"[-0.457688570022583,-0.6021936535835266,0.644920289516449,-0.463821679353714,0.08147905766963959]"
33154,"[-0.18878936767578125,0.10690173506736755,-0.07349232584238052,-0.07622289657592773,0.0579490102827549]"
64575,"[-0.04639115929603577,0.04601433500647545,-0.038316912949085236,-0.022960221394896507,-0.011122258380055428]"
2824,"[0.035706520080566406,0.02495456486940384,-0.07199735194444656,-0.007422248832881451,0.07198220491409302]"
2407,"[-0.31458908319473267,-0.10493014007806778,-0.07433115690946579,0.06568208336830139,-0.03781876340508461]"
5984,"[-0.12330770492553711,0.0542299784719944,-0.2265893965959549,0.026519963517785072,-0.0022988137789070606]"
27704,"[-0.06867896765470505,0.026072273030877113,0.007596426643431187,-0.04240299388766289,-0.005871996749192476]"
1954,"[-0.05012334883213043,-0.301005095243454,-0.031324565410614014,-0.1340954601764679,-0.18730857968330383]"
112556,"[-0.258579820394516,0.11683909595012665,-0.07981332391500473,0.056662313640117645,-0.2301964908838272]"
100159,"[0.01888890750706196,0.04731042683124542,0.009472225792706013,0.016943588852882385,-0.0021333724725991488]"
5544,"[-0.03433936461806297,0.09108678996562958,0.022426161915063858,-0.07124949991703033,-0.12579412758350372]"
7749,"[-0.13917721807956696,0.04419519379734993,-0.14203281700611115,-0.007524608634412289,-0.007282080128788948]"
26359,"[-0.14398831129074097,0.007975957356393337,-0.05746108293533325,-0.041206177324056625,0.07128925621509552]"
1475,"[0.033601466566324234,-0.0051265982910990715,0.0304566640406847,0.08852314203977585,-0.03724637255072594]"
51540,"[-0.3508400619029999,-0.006131380796432495,-0.11776938289403915,0.027471255511045456,0.007265829015523195]"
95499,"[0.00370875746011734,0.11835535615682602,-0.07940594106912613,-0.02757229655981064,-0.040258970111608505]"
142222,"[-0.21720002591609955,-0.0758017972111702,-0.19695459306240082,0.013351129367947578,-0.15288211405277252]"
5820,"[0.06454441696405411,-0.006066303700208664,0.021437935531139374,-0.05152931809425354,-0.05926061421632767]"
27721,"[-0.06482507288455963,0.16209596395492554,-0.1528952717781067,0.07803726941347122,-0.11045069247484207]"
5304,"[0.058141857385635376,0.0060886964201927185,-0.09420619904994965,-0.030166156589984894,-0.11292177438735962]"
151455,"[-0.14283159375190735,-0.14926667511463165,-0.1326902210712433,-0.0910210907459259,-0.14561022818088531]"
4516,"[0.012042480520904064,-0.09377089887857437,0.06813827902078629,0.009074225090444088,0.03771369904279709]"
143896,"[-0.06339004635810852,0.07976537942886353,-0.11371880769729614,-0.06986071169376373,-0.10655056685209274]"
32031,"[-0.038467422127723694,0.1022188737988472,-0.1852429211139679,0.0573413111269474,0.03915894776582718]"
96079,"[-0.558906614780426,0.014731994830071926,-0.14948008954524994,0.19770939648151398,-0.08561263978481293]"
2186,"[-0.26396793127059937,-0.06690121442079544,-0.12538117170333862,0.03007371909916401,0.029650140553712845]"
4161,"[-0.13672849535942078,-0.008259735070168972,-0.27798038721084595,-0.06131623685359955,-0.26468536257743835]"
6731,"[-0.0319720059633255,0.05997175723314285,-0.04692668840289116,-0.05549852177500725,-0.08067243546247482]"
58351,"[-0.08569266647100449,-0.0921114981174469,-0.07855289429426193,0.08807429671287537,-0.09708213061094284]"
952,"[-0.0083058662712574,0.05066276341676712,0.1029161810874939,-0.03234303370118141,0.14167732000350952]"
71462,"[-0.12270421534776688,0.05525556206703186,-0.09584801644086838,0.06087007373571396,-0.10546810179948807]"
100083,"[0.0010777655988931656,0.12092913687229156,-0.042192086577415466,-0.025787025690078735,0.015741728246212006]"
72129,"[-0.06046570464968681,0.03908756747841835,-0.024386530742049217,0.07164382934570312,0.07053674012422562]"
3798,"[-0.18257999420166016,0.024617834016680717,-0.119612917304039,-0.016814080998301506,-0.13035741448402405]"
3654,"[-0.10869158804416656,0.06404070556163788,-0.13580796122550964,-0.033866558223962784,-0.09069880098104477]"
100611,"[-0.10906112194061279,0.02415826916694641,-0.058105163276195526,0.05694342777132988,-0.12040770798921585]"
2442,"[-0.08513160794973373,0.041079968214035034,0.039647869765758514,-0.032868847250938416,0.036648496985435486]"
2137,"[-0.06293780356645584,-0.041147660464048386,0.02992248348891735,-0.04467649385333061,0.0096871517598629]"
6787,"[-0.2892920672893524,0.2514301836490631,-0.3019856810569763,0.025200702250003815,-0.26462334394454956]"
3639,"[-0.08998966217041016,0.04135146737098694,-0.20574283599853516,-0.004618579056113958,-0.003964368719607592]"
461,"[-0.03402319923043251,-0.07153094559907913,-0.10630209743976593,0.029696090146899223,0.07296539098024368]"
2067,"[-0.07115150988101959,0.08242388814687729,-0.0687418282032013,-0.056175123900175095,-0.014669941738247871]"
2976,"[0.06992344558238983,0.061517711728811264,-0.10283249616622925,-0.007516310550272465,-0.06833072006702423]"
49286,"[-0.18916840851306915,0.06096196919679642,-0.09696053713560104,0.028713462874293327,0.00532941147685051]"
1997,"[-0.12544842064380646,-0.11175528913736343,0.044974181801080704,-0.027540763840079308,-0.23612619936466217]"
3674,"[-0.06079435348510742,0.09398788958787918,0.05405031144618988,-0.0890631303191185,0.008046121336519718]"
324,"[-0.1116563230752945,0.04419589787721634,0.04488009959459305,-0.006519746035337448,-0.00931054912507534]"
1147,"[-0.07160703837871552,-0.12627865374088287,0.19348281621932983,-0.04588266834616661,0.14992134273052216]"
8142,"[0.03908209130167961,-0.054134707897901535,0.04673970863223076,0.007051180116832256,0.09096980839967728]"
2183,"[0.015174422413110733,0.04326740652322769,0.032955341041088104,0.05484944209456444,0.07958871126174927]"
162344,"[-0.39221182465553284,0.0517587848007679,-0.2969011664390564,-0.006582784932106733,-0.22388695180416107]"
3214,"[-0.009913917630910873,0.05553056299686432,-0.02580294944345951,0.029355604201555252,-0.00019288109615445137]"
69224,"[0.022538945078849792,0.07913674414157867,-0.048287905752658844,0.02716772072017193,0.025125430896878242]"
7303,"[-0.08646787703037262,0.0066088177263736725,-0.12592501938343048,0.05008779093623161,-0.06771395355463028]"
158783,"[-0.128326416015625,0.02512146532535553,-0.16226157546043396,0.08709363639354706,0.0014791451394557953]"
57421,"[0.033727485686540604,-0.02864074893295765,-0.0022222951520234346,-0.038679346442222595,-0.03400048613548279]"
1496,"[-0.020221970975399017,0.02323758229613304,-0.10706966370344162,-3.685045521706343e-05,-0.009426971897482872]"
1610,"[-0.07233987003564835,-0.07808583229780197,0.49751198291778564,-0.15206576883792877,-0.14885668456554413]"
38798,"[-0.05207845941185951,-0.07299806922674179,0.011665696278214455,0.08821304142475128,0.009409883990883827]"
7566,"[-0.031088966876268387,0.013190186582505703,-0.1037730723619461,-0.049140337854623795,-0.08713395893573761]"
6571,"[-0.10068215429782867,-0.09552083164453506,-0.22930429875850677,0.024141782894730568,-0.07165144383907318]"
172583,"[-0.1842225342988968,-0.08451701700687408,-0.36395543813705444,-0.0877571552991867,-0.19470225274562836]"
1198,"[-0.46812573075294495,-0.576716959476471,1.598291039466858,0.005834177136421204,1.2665833234786987]"
92507,"[0.01361449621617794,0.04615676403045654,-0.00603836216032505,-0.07045701146125793,-0.11003510653972626]"
59784,"[-0.42411842942237854,0.013029566034674644,-0.2776757776737213,0.13513100147247314,0.00993009377270937]"
33421,"[-0.30659884214401245,-0.08615924417972565,-0.10511787980794907,-0.059441015124320984,-0.09573446959257126]"
142598,"[0.029750440269708633,0.02255634218454361,-0.03338974714279175,0.026859533041715622,0.02345334365963936]"
3449,"[-0.0861113965511322,0.022893626242876053,-0.018320409581065178,0.021072501316666603,0.01492606196552515]"
43869,"[0.04704445227980614,-0.007162303663790226,0.004910193383693695,0.013876233249902725,0.08656417578458786]"
2890,"[-0.11081190407276154,0.030125398188829422,-0.16822366416454315,0.4185393750667572,-0.10611381381750107]"
128087,"[-0.036246348172426224,-0.05082297697663307,-0.07349665462970734,-0.0564575232565403,-0.0005244025960564613]"
156726,"[0.0015948810614645481,-0.01638156548142433,-0.09633532166481018,-0.03134872391819954,0.009573572315275669]"
6060,"[-0.005261510610580444,0.025741806253790855,-0.10341005027294159,0.055589012801647186,0.0158473402261734]"
5685,"[-0.016773449257016182,0.024063948541879654,-0.10888050496578217,-0.09718411415815353,0.02516704984009266]"
3461,"[-0.13982224464416504,-0.04910293221473694,-0.08139132708311081,0.0705159530043602,-0.09496188163757324]"
3524,"[-0.1018766537308693,0.016361739486455917,-0.07837382704019547,-0.053464099764823914,-0.003945446107536554]"
177185,"[-0.20603147149085999,-0.06119799241423607,-0.23493778705596924,-0.08995774388313293,0.011133999563753605]"
2723,"[-0.34270918369293213,-0.05931679159402847,-0.009174253791570663,0.07847555726766586,-0.017412682995200157]"
26158,"[-0.009371403604745865,-0.08998266607522964,-0.15959756076335907,0.02047725021839142,-0.04279276728630066]"
332,"[0.12782767415046692,-0.16403217613697052,-0.06376711279153824,-0.0009679381619207561,-0.06158515065908432]"
175,"[0.3913596570491791,-0.32135364413261414,-0.08562671393156052,0.09129220992326736,-0.023453863337635994]"
128914,"[-0.21929273009300232,0.07675731927156448,-0.33377131819725037,-0.10407016426324844,-0.12252436578273773]"
19,"[0.6128416061401367,-0.26677340269088745,-0.0756215825676918,0.1388414055109024,0.09814225137233734]"
53972,"[-0.17845366895198822,0.01574225351214409,-0.11652165651321411,0.021505506709218025,0.007705769035965204]"
141400,"[0.050838083028793335,0.011488405987620354,-0.06062830612063408,0.01267466600984335,-0.0769568681716919]"
313,"[-0.03831692039966583,0.001937089953571558,0.02227579429745674,0.04345877096056938,-0.023151852190494537]"
115828,"[-0.02986205741763115,-0.06697531789541245,-0.10421111434698105,0.01650453731417656,0.052387431263923645]"
918,"[0.150960773229599,-0.008693184703588486,0.21229085326194763,-0.1047191470861435,0.15359064936637878]"
32587,"[-0.3893102705478668,0.2817936837673187,-0.09619446843862534,-0.0224089864641428,0.09208139777183533]"
1289,"[-0.18251103162765503,-0.18087705969810486,0.20424728095531464,-0.13464201986789703,-0.07084064185619354]"
3315,"[0.044720519334077835,-0.06925076246261597,0.06511297821998596,0.03394896537065506,-0.016303595155477524]"
724,"[0.11833516508340836,-0.01373243611305952,-0.04939727485179901,-0.06055664271116257,0.21956290304660797]"
2082,"[0.00844492670148611,0.044174157083034515,0.08382607251405716,0.02695825882256031,0.058444757014513016]"
7381,"[-0.09814363718032837,-0.021900322288274765,-0.1581604927778244,0.06708528846502304,-0.08464965224266052]"
3513,"[-0.11610947549343109,-0.046698492020368576,-0.012276637367904186,0.09161517769098282,0.08682187646627426]"
3003,"[-0.11505427211523056,-0.009773997589945793,-0.03717656806111336,0.005831722170114517,0.007342837285250425]"
70637,"[-0.10424470901489258,-0.08662174642086029,-0.026851333677768707,0.04960260167717934,-0.014750880189239979]"
362,"[0.197590172290802,-0.4791983962059021,0.013310827314853668,-0.380109965801239,0.04510213062167168]"
2763,"[-0.33789557218551636,-0.15271331369876862,0.054357413202524185,0.2809225618839264,-0.1399076282978058]"
172589,"[-0.3457288146018982,-0.02493913471698761,-0.416105717420578,-0.03511077165603638,-0.212299183011055]"
1216,"[-0.09738743305206299,-0.022535093128681183,0.21135000884532928,-0.0969490185379982,0.010427103377878666]"
53022,"[-0.06569062918424606,-0.05332890897989273,-0.08055674284696579,0.08318998664617538,-0.05724769085645676]"
7266,"[-0.026770399883389473,0.016341092064976692,0.000706937862560153,0.07908589392900467,-0.034783974289894104]"
105585,"[-0.18150672316551208,0.004732297733426094,-0.05925854668021202,-0.043998345732688904,0.020985383540391922]"
5803,"[-0.050865329802036285,0.1136065348982811,0.03079942613840103,-0.04180680960416794,0.05444546788930893]"
106491,"[-0.028177723288536072,-0.04192337766289711,-0.024690892547369003,-0.07195383310317993,-0.12056025862693787]"
3755,"[-0.07546074688434601,0.15871335566043854,-0.04047507420182228,0.035543449223041534,-0.12243815511465073]"
265,"[0.4425259232521057,-0.4899897575378418,-0.3225328028202057,-0.08018980175256729,-0.02930605225265026]"
25898,"[-0.24695710837841034,0.03593534603714943,-0.2041308879852295,-0.11147882044315338,0.014513171277940273]"
81417,"[-0.21773084998130798,0.06561731547117233,-0.17459754645824432,-0.03910344839096069,-0.01683076284825802]"
2644,"[-0.12377555668354034,-0.03229615092277527,0.031572531908750534,0.08950790017843246,-0.09554018080234528]"
58025,"[-0.224034383893013,-0.021192029118537903,-0.18886062502861023,0.07996809482574463,-0.007856052368879318]"
4217,"[-0.07552984356880188,-0.02785646915435791,-0.10254853218793869,0.04297766834497452,-0.034439895302057266]"
99191,"[0.01865563541650772,0.08352505415678024,0.07526659220457077,-0.07835091650485992,-0.07171473652124405]"
5147,"[-0.1804187148809433,-0.008904443122446537,-0.09806685149669647,-0.017619410529732704,-0.04032181203365326]"
1917,"[-0.07222597301006317,-0.17968638241291046,0.2752307653427124,-0.04181387647986412,-0.04081941395998001]"
5502,"[-0.13885852694511414,0.2577104866504669,-0.1341802030801773,0.0014704118948429823,-0.25806060433387756]"
170837,"[-0.2547418177127838,0.0010603806003928185,-0.18924763798713684,0.014795413240790367,-0.10098592936992645]"
5449,"[0.04513978585600853,0.06721944361925125,0.038649365305900574,-0.010401034727692604,-0.0604466050863266]"
1208,"[-0.3164568245410919,-0.5520179867744446,1.65080726146698,-0.47268080711364746,0.9863841533660889]"
5490,"[0.05075204372406006,-0.023380793631076813,-0.1125030368566513,0.08227690309286118,0.000905921682715416]"
5283,"[-0.0046225301921367645,0.052833594381809235,-0.0810486450791359,-0.02087404765188694,-0.018347395583987236]"
127114,"[-0.11920274794101715,-0.018619801849126816,-0.19965767860412598,-0.07996781170368195,-0.08752311766147614]"
2712,"[-0.3586524426937103,-0.10566890239715576,-0.021383553743362427,0.2635226845741272,-0.04923959821462631]"
33615,"[-0.20340988039970398,0.08330748975276947,-0.14254862070083618,0.04289371892809868,-0.011588783003389835]"
60950,"[-0.23302008211612701,0.17252638936042786,-0.31057921051979065,0.054736487567424774,-0.02752332016825676]"
3578,"[-0.16183511912822723,0.08391086012125015,-0.022159414365887642,0.4759644865989685,-0.6477498412132263]"
8327,"[0.0011791903525590897,0.03641477972269058,-0.11318078637123108,-0.07654883712530136,-0.06881911307573318]"
4766,"[-0.07253551483154297,-0.05873585492372513,-0.05922282487154007,0.08693818747997284,0.04198141396045685]"
2662,"[-0.11960702389478683,-0.1032106950879097,-0.033863846212625504,-0.05220181494951248,-0.025265369564294815]"
100,"[-0.032638970762491226,0.03443453088402748,0.018985506147146225,0.09943072497844696,-0.02618820033967495]"
23,"[0.02374904416501522,-0.12616589665412903,-0.1310494840145111,0.032359011471271515,-0.06476156413555145]"
166528,"[-0.4101065397262573,0.1319042444229126,-0.5473102927207947,0.013160794973373413,-0.23737192153930664]"
3330,"[-0.08475326746702194,-0.0838942602276802,0.015641748905181885,0.038966596126556396,-0.001875674119219184]"
1936,"[-0.10359068214893341,-0.03781234845519066,-0.00983191467821598,0.0984802171587944,-0.09657403081655502]"
48774,"[-0.32189232110977173,-0.13577045500278473,-0.23304997384548187,0.04264527186751366,-0.058221008628606796]"
3894,"[-0.032011259347200394,-0.019713029265403748,-0.08292324095964432,0.09383565187454224,-0.039796505123376846]"
94985,"[-0.09874672442674637,0.0012637939071282744,-0.17910075187683105,0.04612027481198311,-0.0005073898937553167]"
76054,"[-0.0031388364732265472,-0.00856409315019846,-0.13034597039222717,0.07056999951601028,-0.12669143080711365]"
2429,"[-0.018878091126680374,-0.06446239352226257,0.06877502053976059,0.002380182035267353,-0.026364652439951897]"
74791,"[-0.11749447137117386,-0.03392289578914642,-0.10202977061271667,-0.06943714618682861,-0.011543167755007744]"
3697,"[-0.11287909001111984,-0.056742530316114426,-0.11165454983711243,0.008921056985855103,-0.005641173105686903]"
433,"[-0.11291477829217911,0.022953884676098824,0.04497048258781433,-0.014931978657841682,-0.016916926950216293]"
55278,"[-0.06198524683713913,0.0858815535902977,0.0142743568867445,-0.08599881827831268,0.011387422680854797]"
74754,"[-0.13929904997348785,0.04574466496706009,-0.09819643944501877,0.10394148528575897,-0.04359005019068718]"
1518,"[0.01589229702949524,0.011339522898197174,0.06492360681295395,-0.07163888961076736,-0.0487392283976078]"
2801,"[-0.07172908633947372,-0.08537193387746811,0.004884670488536358,0.10463772714138031,0.009195339865982533]"
7132,"[-0.15517039597034454,0.01887425221502781,-0.2513832747936249,0.06834567338228226,-0.03548179566860199]"
167570,"[0.024783622473478317,0.08732285350561142,-0.11753568053245544,-0.030764413997530937,0.050487540662288666]"
6782,"[-0.07856551557779312,-0.003133832011371851,-0.10922015458345413,-0.055051952600479126,0.019067445769906044]"
1859,"[-0.05937768146395683,0.03215737268328667,-0.11817250400781631,-0.04294793680310249,-0.018424786627292633]"
122926,"[-0.1777557134628296,0.3021351993083954,-0.21046234667301178,0.01111975871026516,-0.2877749502658844]"
